Arithmetics End
date = 2020-05-08, chg = 1.04%, profit = 1.04%, profitValue = 2901.27
synthetical7
date = 2020-05-06, chg = 1.57%, profit = 1.57%, profitValue = 2904.89
synthetical6
范围内无有效日期
synthetical5
范围内无有效日期
synthetical4
范围内无有效日期
synthetical3
4天期, maichu, date = 2020-03-26, stock = 002271, price = 32.85, rate = 1.00
4天期, mairu, date = 2020-03-20, stock = 002271, price = 32.60, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-20, stock = 002821, price = 170.50, rate = 0.5000000000000000
4天期, maichu, date = 2020-03-25, stock = 002371, price = 127.25, rate = 1.00
4天期, maichu, date = 2020-03-25, stock = 002315, price = 16.35, rate = 1.00
4天期, mairu, date = 2020-03-19, stock = 300470, price = 25.43, rate = 0
4天期, mairu, date = 2020-03-19, stock = 300377, price = 10.62, rate = 0
4天期, mairu, date = 2020-03-19, stock = 300166, price = 16.34, rate = 0
4天期, mairu, date = 2020-03-19, stock = 603688, price = 25.07, rate = 0
4天期, mairu, date = 2020-03-19, stock = 300496, price = 59.10, rate = 0
4天期, mairu, date = 2020-03-19, stock = 002371, price = 143.00, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-19, stock = 002315, price = 16.88, rate = 0.5000000000000000
4天期, maichu, date = 2020-03-23, stock = 603078, price = 40.94, rate = 1.00
4天期, maichu, date = 2020-03-23, stock = 300236, price = 56.39, rate = 1.00
4天期, mairu, date = 2020-03-17, stock = 603356, price = 14.91, rate = 0
4天期, mairu, date = 2020-03-17, stock = 600131, price = 20.21, rate = 0
4天期, mairu, date = 2020-03-17, stock = 603078, price = 47.26, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-17, stock = 300236, price = 56.82, rate = 0.5000000000000000
4天期, maichu, date = 2020-03-11, stock = 601808, price = 14.69, rate = 1.00
4天期, maichu, date = 2020-03-11, stock = 300073, price = 29.02, rate = 1.00
4天期, mairu, date = 2020-03-05, stock = 002007, price = 45.02, rate = 0
4天期, mairu, date = 2020-03-05, stock = 601808, price = 16.36, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-05, stock = 300073, price = 29.24, rate = 0.5000000000000000
4天期, maichu, date = 2020-03-10, stock = 603118, price = 17.61, rate = 1.00
4天期, maichu, date = 2020-03-10, stock = 002798, price = 25.74, rate = 1.00
4天期, mairu, date = 2020-03-04, stock = 601318, price = 80.58, rate = 0
4天期, mairu, date = 2020-03-04, stock = 603298, price = 13.92, rate = 0
4天期, mairu, date = 2020-03-04, stock = 002846, price = 22.82, rate = 0
4天期, mairu, date = 2020-03-04, stock = 600882, price = 17.30, rate = 0
4天期, mairu, date = 2020-03-04, stock = 300016, price = 11.35, rate = 0
4天期, mairu, date = 2020-03-04, stock = 300569, price = 15.12, rate = 0
4天期, mairu, date = 2020-03-04, stock = 300625, price = 16.15, rate = 0
4天期, mairu, date = 2020-03-04, stock = 002152, price = 10.32, rate = 0
4天期, mairu, date = 2020-03-04, stock = 300674, price = 39.12, rate = 0
4天期, mairu, date = 2020-03-04, stock = 002670, price = 11.77, rate = 0
4天期, mairu, date = 2020-03-04, stock = 002798, price = 28.10, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-04, stock = 603118, price = 15.97, rate = 0.5000000000000000
4天期, mairu, date = 2020-02-24, stock = 300009, price = 16.81, rate = 0
4天期, maichu, date = 2020-02-26, stock = 603876, price = 18.20, rate = 1.00
4天期, maichu, date = 2020-02-26, stock = 300625, price = 16.66, rate = 1.00
4天期, mairu, date = 2020-02-20, stock = 300522, price = 19.30, rate = 0
4天期, mairu, date = 2020-02-20, stock = 000777, price = 12.27, rate = 0
4天期, mairu, date = 2020-02-20, stock = 000810, price = 15.50, rate = 0
4天期, mairu, date = 2020-02-20, stock = 603819, price = 12.60, rate = 0
4天期, mairu, date = 2020-02-20, stock = 300508, price = 28.42, rate = 0
4天期, mairu, date = 2020-02-20, stock = 300625, price = 17.13, rate = 1.0000000000000000
4天期, mairu, date = 2020-02-20, stock = 603876, price = 15.88, rate = 0.5000000000000000
4天期, mairu, date = 2020-02-17, stock = 601069, price = 14.77, rate = 0
4天期, mairu, date = 2020-02-14, stock = 000776, price = 14.52, rate = 0
4天期, maichu, date = 2020-02-18, stock = 300796, price = 23.59, rate = 1.00
4天期, maichu, date = 2020-02-18, stock = 300342, price = 18.45, rate = 1.00
4天期, mairu, date = 2020-02-12, stock = 300685, price = 73.59, rate = 0
4天期, mairu, date = 2020-02-12, stock = 300088, price = 12.56, rate = 0
4天期, mairu, date = 2020-02-12, stock = 300384, price = 18.13, rate = 0
4天期, mairu, date = 2020-02-12, stock = 300587, price = 15.46, rate = 0
4天期, mairu, date = 2020-02-12, stock = 002191, price = 10.30, rate = 0
4天期, mairu, date = 2020-02-12, stock = 600980, price = 12.22, rate = 0
4天期, mairu, date = 2020-02-12, stock = 300796, price = 21.41, rate = 1.0000000000000000
4天期, mairu, date = 2020-02-12, stock = 300342, price = 15.73, rate = 0.5000000000000000
4天期, mairu, date = 2020-02-11, stock = 002180, price = 37.13, rate = 0
4天期, maichu, date = 2020-02-12, stock = 601155, price = 34.27, rate = 1.00
4天期, maichu, date = 2020-02-12, stock = 300595, price = 55.62, rate = 1.00
4天期, mairu, date = 2020-02-06, stock = 300699, price = 46.41, rate = 0
4天期, mairu, date = 2020-02-06, stock = 300012, price = 16.74, rate = 0
4天期, mairu, date = 2020-02-06, stock = 300595, price = 51.86, rate = 1.0000000000000000
4天期, mairu, date = 2020-02-06, stock = 601155, price = 33.09, rate = 0.5000000000000000
4天期, mairu, date = 2020-02-04, stock = 603309, price = 17.12, rate = 0
4天期, maichu, date = 2020-02-06, stock = 002382, price = 19.36, rate = 1.00
4天期, maichu, date = 2020-02-06, stock = 002030, price = 18.00, rate = 1.00
4天期, mairu, date = 2020-01-23, stock = 002382, price = 14.10, rate = 1.0000000000000000
4天期, mairu, date = 2020-01-23, stock = 002030, price = 14.91, rate = 0.5000000000000000
4天期, mairu, date = 2020-01-22, stock = 002184, price = 11.29, rate = 0
4天期, mairu, date = 2020-01-20, stock = 000049, price = 47.32, rate = 0
4天期, mairu, date = 2020-01-16, stock = 002594, price = 54.09, rate = 0
4天期, mairu, date = 2020-01-15, stock = 603267, price = 54.18, rate = 0
4天期, mairu, date = 2020-01-14, stock = 603315, price = 13.29, rate = 0
4天期, maichu, date = 2020-01-17, stock = 600588, price = 32.69, rate = 1.00
4天期, maichu, date = 2020-01-17, stock = 300701, price = 31.16, rate = 1.00
4天期, mairu, date = 2020-01-13, stock = 600048, price = 16.48, rate = 0
4天期, mairu, date = 2020-01-13, stock = 300609, price = 39.68, rate = 0
